A	B
1553216_at	-32.7486010415093	-35.8579178314139
1553217_s_at	69.1492327885209	21.1807608311826
1553218_a_at	164.860768017455	135.092957093954
1553219_a_at	-160.49264260239	0
1553220_at	50.9934442683612	29.7686693618203
1553221_at	60.9771166342143	12.2403625347001
1553222_at	-47.7558911645254	0
1553224_at	37.8769989390535	-12.8008299847277
1553225_s_at	-40.6987612719788	-148.535076162257
1553226_at	46.9837493189463	0
1553227_s_at	-4.60713891648527	58.5781265371971
1553228_at	9.41711248018972	68.9918081909858
1553229_at	0	0
1553232_at	0	0
1553234_at	13.6218896058761	-203.32033773645
1553235_at	0	0
1553237_x_at	0	-15.5765156114186
1553238_a_at	62.9902748623008	0
1553239_at	0	0
1553241_at	0	0
1553243_at	-4.45250134542766	205.660103283885
1553244_at	98.8926517388244	0
1553246_a_at	0	0
1553247_a_at	67.2019290284942	41.6109045004623
1553248_at	5.14488528432399	24.3599666936524
1553249_at	0	0
1553252_a_at	14.7894579031031	-13.5363531412213
1553253_at	0	0
1553254_at	0	116.886815059982
1553255_at	0	0
1553257_at	0	-229.325963508167
1553258_at	0	0
1553260_s_at	16.7406882516894	14.61846799659
1553261_x_at	0	-8.4612169710741
1553262_a_at	0	0
1553263_at	3.34367667628447	0
1553264_a_at	0	-783.08231541641
1553265_at	0	0
1553266_at	0	0
1553267_a_at	-33.2954955140908	0
1553268_at	0	90.8594499577657
1553269_at	24.5782218933326	31.0070486097641
1553271_at	139.304197843952	165.514891581626
1553272_at	0	-25.4704423879468
1553274_a_at	-63.7734679484565	-118.764732354228
1553275_s_at	46.4905946772778	30.0865056197804
1553276_at	0	0
1553277_at	22.8864646109654	0
1553279_at	-30.18192339434	0
1553280_at	11.0692966012302	0
1553281_at	0	0
1553282_at	0	0
1553284_s_at	-10.9341277049991	-33.0103654803548
1553285_s_at	0	0
1553286_at	-30.6445900683054	57.7916138321401
1553288_a_at	34.7460088187816	88.896427329695
1553292_s_at	218.176539181234	230.715175617328
1553293_at	291.366508536033	0
1553295_at	-6.82405086230435	0
1553296_at	8.90246005262025	0
1553297_a_at	-45.1569734874546	0
1553298_at	0	6.36678871952867
1553299_at	144.351938752457	0
1553300_a_at	60.7927618163779	78.1800572869364
1553301_a_at	11.7627051368908	-10.3724511610708
1553303_at	0	0
1553304_at	-38.5417431650709	0
1553306_at	0	0
1553310_at	0	0
1553311_at	-4.09313106554676	0
1553313_s_at	47.4422366183535	-4.96948144777735
1553314_a_at	0	-67.5004242863065
1553315_at	-29.9463758130045	15.9548745812591
1553316_at	0	0
1553317_s_at	0	0
1553318_at	0	0
1553319_at	0	-12.5066918660408
1553320_s_at	0	0
1553321_a_at	28.0142900208638	32.2299995730522
1553322_s_at	80.3860469200429	0
1553323_a_at	-56.0071258919833	-1.71900807809291
1553325_at	0	10.2255919939838
1553326_at	0	18.434658240492
1553327_a_at	0	0
1553328_a_at	0	0
1553329_at	-4.4378232998689	11.460347682156
1553330_at	0	0
1553333_at	-9.69777929482192	0
1553335_x_at	0	66.7335657167462
1553336_a_at	-28.0624829246711	-55.9495766414082
1553338_at	146.309026928208	-46.8069187002793
1553340_s_at	0	0
1553341_at	0	0
1553344_at	0	0
1553346_a_at	44.352925655392	-88.1582790566894
1553347_s_at	0	-239.550954308777
1553348_a_at	39.8492133213323	0
1553349_at	48.7684884922526	59.7967172679527
1553350_at	0	-96.6686661954676
1553351_at	0	-95.1975809479327
1553352_x_at	0	0
1553354_a_at	86.8724300246381	143.572313169521
1553355_at	0	0
1553356_at	0	0
1553357_at	0	-26.8695543114286
1553359_at	0	0
1553361_x_at	0	0
1553362_at	0	1.28536447791728
1553363_at	0	0
1553364_at	0	0
1553365_at	0	0
1553366_s_at	0	0
1553367_a_at	0	0
1553369_at	0	0
1553371_at	37.5809354993569	67.761162811118
1553372_at	0	0
1553373_at	34.085506057488	20.2750407868399
1553374_at	0	0
1553375_at	0	0
1553376_a_at	0	0
1553378_a_at	0	0
1553380_at	0	0
1553383_at	0	0
1553385_at	0	0
1553386_at	136.738681862402	0
1553387_at	-46.5838804873039	-23.813300242961
1553388_at	0	0
1553389_at	-14.1551359747192	-19.8385117495467
1553390_at	0	0
1553391_at	0	0
1553392_at	-14.5230952571362	0
1553394_a_at	29.1184398485357	56.3443047881837
1553395_a_at	0	104.766368252834
1553396_a_at	0	-35.349155307797
1553397_at	0	0
1553398_at	0	0
1553399_a_at	24.575255686241	-188.113393462411
1553400_a_at	49.7830996183288	51.4331206658007
1553401_at	9.9554722271798	0
1553402_a_at	31.1025214693244	0
1553403_at	0	0
1553405_a_at	-18.703324864007	-122.504859256106
1553407_at	7.52397913544706	65.6512564730401
1553409_at	0	0
1553410_a_at	0	0
1553411_s_at	-13.7126281637801	39.0118736735302
1553412_at	0	23.744021680348
1553413_at	0	0
1553415_at	0	0
1553417_at	0	92.119063638864
