D0	D8	N
200655_s_at	0.12888668934149	0.0748458087139365	0.0748458087139365
200656_s_at	-1.45833054833982	-1.60383733984663	-1.60383733984663
200657_at	-0.537068715415252	-0.474435957901713	-0.474435957901713
200658_s_at	-0.842198409338476	-0.659567870216252	-0.659567870216252
200659_s_at	-0.0479962699137175	0.285185850596996	0.285185850596996
200660_at	0.708059955383344	0.0485786394499215	0.0485786394499215
200661_at	1.87355627799696	-0.415653549268718	-0.415653549268718
200662_s_at	-0.133391005601139	0.261720027021946	0.261720027021946
200663_at	-0.063991809399484	-0.28384569830884	-0.28384569830884
200664_s_at	-1.43994973700278	-1.06744505839169	-1.06744505839169
200665_s_at	-0.42772493010744	-0.917107596803703	-0.917107596803703
200666_s_at	-0.688887147706202	-0.849460153594327	-0.849460153594327
200667_at	-0.0493499514992042	0.110648534428103	0.110648534428103
200668_s_at	-0.334864652464033	-0.139792017689738	-0.139792017689738
200669_s_at	-1.94835819845122	-1.70236186459641	-1.70236186459641
200670_at	-0.000515516026457163	0.344892845904992	0.344892845904992
200671_s_at	-5.59188063694273	-3.74369321765327	-3.74369321765327
200672_x_at	-0.986528762381038	-1.11946970356097	-1.11946970356097
200673_at	0.177027837585976	0.0941448747839306	0.0941448747839306
200674_s_at	0.441299042202012	0.394509866134516	0.394509866134516
200675_at	-0.458852645857576	-0.366937882552218	-0.366937882552218
200676_s_at	-0.0112819839145057	0.0522844127496507	0.0522844127496507
200677_at	0.0839795708179754	0.166215104421967	0.166215104421967
200678_x_at	-0.443395395352162	-0.591958962664867	-0.591958962664867
200679_x_at	0.521757397333795	0.406769648388282	0.406769648388282
200680_x_at	0.201831831000264	0.120344344043726	0.120344344043726
200681_at	-0.047318049613132	0.128090287759823	0.128090287759823
200682_s_at	-0.110056342128948	-0.113193869333307	-0.113193869333307
200683_s_at	0.450642174690177	0.576169086927244	0.576169086927244
200684_s_at	-0.674745457984356	-0.628053928696886	-0.628053928696886
200685_at	0.528064970705689	0.880678064844897	0.880678064844897
200686_s_at	0.179333067092266	0.628719592094356	0.628719592094356
200687_s_at	0.343665277236491	-0.151134640045239	-0.151134640045239
200688_at	0.884249949337445	1.74936615472279	1.74936615472279
200689_x_at	-0.0600836123121926	-0.14819884352538	-0.14819884352538
200690_at	0.0862688558619489	0.507584450552029	0.507584450552029
200691_s_at	-0.152913957999592	-0.193325534584073	-0.193325534584073
200692_s_at	-0.644593708677625	-0.732147076071779	-0.732147076071779
200693_at	-0.73123458652811	-0.501489782074904	-0.501489782074904
200694_s_at	-0.0570454160772371	-0.00385162552989549	-0.00385162552989549
200695_at	0.240314653939079	-2.60212036741512	-2.60212036741512
200696_s_at	-0.461669982180538	-0.45925060632907	-0.45925060632907
200697_at	-0.390293052955075	-0.954342672903355	-0.954342672903355
200698_at	-1.00868845164449	-1.15583145649404	-1.15583145649404
200699_at	-0.374952610221351	-0.713756248412092	-0.713756248412092
