D0	D33
200675_at	-0.275525454869873	-0.275525454869873
200676_s_at	-0.117267274114327	-0.117267274114327
200677_at	-0.551994005195144	-0.551994005195144
200678_x_at	-0.328866659803976	-0.328866659803976
200679_x_at	0.359829175935598	0.359829175935598
200680_x_at	-0.114410317171892	-0.114410317171892
200681_at	0.19554992450974	0.19554992450974
200682_s_at	0.263685802099269	0.263685802099269
200683_s_at	0.225273985755166	0.225273985755166
200684_s_at	0.327357185589607	0.327357185589607
200685_at	0.632085510213665	0.632085510213665
200686_s_at	1.01402443726757	1.01402443726757
200687_s_at	0.34881855112903	0.34881855112903
200688_at	3.07595331181998	3.07595331181998
200689_x_at	-0.118258267891193	-0.118258267891193
200690_at	0.192610460376917	0.192610460376917
200691_s_at	0.338845841659827	0.338845841659827
200692_s_at	0.643392247252873	0.643392247252873
200693_at	-0.0179895606031639	-0.0179895606031639
200694_s_at	-0.0125787996431459	-0.0125787996431459
200695_at	0.661230724053246	0.661230724053246
200696_s_at	-3.59008989520678	-3.59008989520678
200697_at	-0.0995780786448002	-0.0995780786448002
200698_at	-0.232753862468103	-0.232753862468103
200699_at	-0.99673664233437	-0.99673664233437
200700_s_at	-0.641359379653611	-0.641359379653611
200701_at	-0.0794520483028478	-0.0794520483028478
200702_s_at	0.246072325247056	0.246072325247056
200703_at	0.421781152590736	0.421781152590736
200704_at	-0.895503458007131	-0.895503458007131
200705_s_at	0.376893296101708	0.376893296101708
200706_s_at	-0.85168495910214	-0.85168495910214
200707_at	4.81882376346828	4.81882376346828
200708_at	0.570322140913868	0.570322140913868
200709_at	0.28024363310988	0.28024363310988
200710_at	-0.614805476921852	-0.614805476921852
200711_s_at	0.0151117032479391	0.0151117032479391
200712_s_at	-0.0990564333782018	-0.0990564333782018
200713_s_at	-0.54916256116547	-0.54916256116547
200714_x_at	-0.146074519777542	-0.146074519777542
200715_x_at	0.356572800689106	0.356572800689106
200716_x_at	0.057615324729472	0.057615324729472
200717_x_at	0.0187155331239754	0.0187155331239754
200718_s_at	0.0399841000501766	0.0399841000501766
200719_at	-0.62277807804614	-0.62277807804614
200720_s_at	-1.00540733170174	-1.00540733170174
200721_s_at	-0.17138472826602	-0.17138472826602
200722_s_at	1.24945567368681	1.24945567368681
200723_s_at	0.581798733289947	0.581798733289947
200724_at	-1.27044096919298	-1.27044096919298
200725_x_at	-0.256558528142877	-0.256558528142877
200726_at	0.556077727702069	0.556077727702069
200727_s_at	-0.638756255412872	-0.638756255412872
200728_at	-0.124911861085671	-0.124911861085671
200729_s_at	-0.0412191561441784	-0.0412191561441784
200730_s_at	-0.605373917317674	-0.605373917317674
200731_s_at	-0.273440196193105	-0.273440196193105
200732_s_at	0.0563666947747166	0.0563666947747166
200733_s_at	1.11238180432836	1.11238180432836
200734_s_at	-0.400284708841127	-0.400284708841127
200735_x_at	0.142957485629877	0.142957485629877
200736_s_at	-1.73587091055934	-1.73587091055934
200737_at	-0.819920900601453	-0.819920900601453
200738_s_at	-0.726734369921887	-0.726734369921887
200739_s_at	-0.0418488864545292	-0.0418488864545292
200740_s_at	-0.851290980492566	-0.851290980492566
200741_s_at	-0.0911886736907874	-0.0911886736907874
200742_s_at	-1.27815006649735	-1.27815006649735
200743_s_at	-0.76916816657987	-0.76916816657987
200744_s_at	0.238576969913968	0.238576969913968
200745_s_at	0.100995034918141	0.100995034918141
200746_s_at	0.268163890168603	0.268163890168603
200747_s_at	0.409910318579499	0.409910318579499
200748_s_at	-0.487813067635914	-0.487813067635914
200749_at	0.90396809513407	0.90396809513407
200750_s_at	0.624352805853395	0.624352805853395
200751_s_at	0.466329130076623	0.466329130076623
200752_s_at	0.698650061892324	0.698650061892324
200753_x_at	-0.0186984813204365	-0.0186984813204365
200754_x_at	-0.22345195308254	-0.22345195308254
200755_s_at	0.522989439974459	0.522989439974459
200756_x_at	1.68803422403626	1.68803422403626
200757_s_at	0.0440796955664577	0.0440796955664577
200758_s_at	1.15370137407906	1.15370137407906
200759_x_at	-0.123024161934133	-0.123024161934133
200760_s_at	-0.524738661131616	-0.524738661131616
200761_s_at	-0.0764868383446	-0.0764868383446
200762_at	-1.22043664371746	-1.22043664371746
200763_s_at	-0.0187747042500988	-0.0187747042500988
200764_s_at	-0.27224548543157	-0.27224548543157
200765_x_at	-0.488004598571257	-0.488004598571257
200766_at	-0.33140847351546	-0.33140847351546
200767_s_at	0.728225553913308	0.728225553913308
200768_s_at	0.775717189262782	0.775717189262782
200769_s_at	1.20739550981682	1.20739550981682
200770_s_at	0.170246617721745	0.170246617721745
200771_at	-0.155073277243323	-0.155073277243323
200772_x_at	-0.10015984566957	-0.10015984566957
200773_x_at	0.118845634869455	0.118845634869455
200774_at	0.8162144815514	0.8162144815514
200775_s_at	0.0411816960852907	0.0411816960852907
200776_s_at	0.1732751980364	0.1732751980364
200777_s_at	0.21985251715482	0.21985251715482
200778_s_at	0.398165382101753	0.398165382101753
200779_at	-0.427783491710443	-0.427783491710443
200780_x_at	0.0786056737671572	0.0786056737671572
200781_s_at	-0.0597303934708417	-0.0597303934708417
200782_at	-3.1221936763525	-3.1221936763525
200783_s_at	0.45908960136259	0.45908960136259
200785_s_at	-0.761694238390374	-0.761694238390374
200786_at	0.134161636210125	0.134161636210125
200787_s_at	-0.586464662032705	-0.586464662032705
200788_s_at	-1.29547577843788	-1.29547577843788
200789_at	2.75990978024364	2.75990978024364
200790_at	1.34661294507645	1.34661294507645
200791_s_at	-0.410976842747438	-0.410976842747438
200792_at	-0.0333213607470366	-0.0333213607470366
200793_s_at	-0.148483973047075	-0.148483973047075
200794_x_at	-0.766144487430385	-0.766144487430385
200795_at	-0.563935653460753	-0.563935653460753
200796_s_at	2.00677772875703	2.00677772875703
200797_s_at	-1.50479394237795	-1.50479394237795
200798_x_at	-1.55619832233259	-1.55619832233259
200799_at	-2.50770245180241	-2.50770245180241
200800_s_at	-8.93618304547137	-8.93618304547137
200801_x_at	-0.305409065908464	-0.305409065908464
200802_at	-0.364576073533566	-0.364576073533566
200803_s_at	-0.29639361861163	-0.29639361861163
200804_at	-0.658336869499992	-0.658336869499992
200805_at	-0.190938996480824	-0.190938996480824
200806_s_at	0.34839912951502	0.34839912951502
200807_s_at	0.79407078713473	0.79407078713473
200808_s_at	-1.12179076286912	-1.12179076286912
200809_x_at	0.131237227165261	0.131237227165261
200810_s_at	-0.32042783945047	-0.32042783945047
200811_at	-0.091417522229829	-0.091417522229829
200812_at	-0.00236834715900258	-0.00236834715900258
200813_s_at	2.47499005518028	2.47499005518028
200814_at	0.0128332132204712	0.0128332132204712
200815_s_at	-0.406185535734208	-0.406185535734208
200816_s_at	0.127692159014604	0.127692159014604
200817_x_at	-0.0785546304491422	-0.0785546304491422
200818_at	-0.0309043557734388	-0.0309043557734388
200819_s_at	-0.153233201820152	-0.153233201820152
200820_at	-0.301897953233812	-0.301897953233812
200821_at	-0.24866365194517	-0.24866365194517
200822_x_at	-0.0212285870302047	-0.0212285870302047
200823_x_at	-0.136800853615533	-0.136800853615533
200824_at	-0.0888820738257081	-0.0888820738257081
200825_s_at	-0.625767720598461	-0.625767720598461
200826_at	0.218559459485636	0.218559459485636
200827_at	1.24399283971128	1.24399283971128
200828_s_at	-0.254640401218314	-0.254640401218314
200829_x_at	-0.187955368567751	-0.187955368567751
200830_at	-0.277462764566135	-0.277462764566135
200831_s_at	-0.661488041458792	-0.661488041458792
200832_s_at	0.712300164906371	0.712300164906371
200833_s_at	-0.423279082005543	-0.423279082005543
200834_s_at	0.0653941101047213	0.0653941101047213
200835_s_at	4.08020769047761	4.08020769047761
200837_at	-0.961671469696226	-0.961671469696226
200838_at	0.247853346759239	0.247853346759239
200839_s_at	-0.220845698503926	-0.220845698503926
200840_at	0.423278663075997	0.423278663075997
200841_s_at	1.08415074874568	1.08415074874568
200842_s_at	1.32306940785566	1.32306940785566
200843_s_at	0.834246332881342	0.834246332881342
200844_s_at	-0.165458184701253	-0.165458184701253
200845_s_at	0.0906399244635647	0.0906399244635647
200846_s_at	-0.220851694187308	-0.220851694187308
200847_s_at	-0.365575881004782	-0.365575881004782
200848_at	0.613847715831614	0.613847715831614
200849_s_at	0.487587419441642	0.487587419441642
200850_s_at	0.225753969493596	0.225753969493596
200851_s_at	0.0108732527890041	0.0108732527890041
200852_x_at	-0.622214492227521	-0.622214492227521
200853_at	0.431573767687826	0.431573767687826
200854_at	0.599016214362488	0.599016214362488
200855_at	0.55156761345054	0.55156761345054
200856_x_at	-0.104606717098726	-0.104606717098726
200857_s_at	0.0572793193147429	0.0572793193147429
200858_s_at	0.22295022757495	0.22295022757495
200859_x_at	-0.763726626227418	-0.763726626227418
200860_s_at	0.119345854612073	0.119345854612073
200861_at	1.36203463169893	1.36203463169893
200862_at	-2.261617830215	-2.261617830215
200863_s_at	0.1291025503585	0.1291025503585
200864_s_at	0.32775184808335	0.32775184808335
200866_s_at	-1.23386482390334	-1.23386482390334
200867_at	0.234784481397016	0.234784481397016
200868_s_at	0.332952021914755	0.332952021914755
200869_at	-0.00386521338434243	-0.00386521338434243
200870_at	0.39565419412388	0.39565419412388
200871_s_at	-1.4030339075077	-1.4030339075077
200872_at	-0.350375306794016	-0.350375306794016
200873_s_at	0.607815934939223	0.607815934939223
200874_s_at	0.632111014835843	0.632111014835843
200875_s_at	0.658449852225266	0.658449852225266
200876_s_at	-0.341599493766672	-0.341599493766672
200877_at	0.55379051486222	0.55379051486222
200878_at	-2.34104081973133	-2.34104081973133
200880_at	0.150469781025025	0.150469781025025
200881_s_at	-0.0726150798349767	-0.0726150798349767
200882_s_at	0.108762722776275	0.108762722776275
200883_at	0.399643824141625	0.399643824141625
200884_at	3.50086170851203	3.50086170851203
200885_at	-0.338130353211971	-0.338130353211971
200886_s_at	-0.0133719275862934	-0.0133719275862934
200887_s_at	0.378831005761004	0.378831005761004
200888_s_at	-0.0379518739627649	-0.0379518739627649
200889_s_at	-0.397481046655574	-0.397481046655574
200890_s_at	-0.361635120898775	-0.361635120898775
200891_s_at	0.082594498954661	0.082594498954661
200892_s_at	-0.321860693583766	-0.321860693583766
200893_at	0.0550089847070954	0.0550089847070954
200894_s_at	2.20364102077431	2.20364102077431
200895_s_at	0.166311176344351	0.166311176344351
200896_x_at	0.192850008581432	0.192850008581432
200897_s_at	2.04868437406131	2.04868437406131
200898_s_at	-0.119143536395569	-0.119143536395569
200899_s_at	-0.116697684121387	-0.116697684121387
200900_s_at	0.142766598349864	0.142766598349864
200901_s_at	-0.224527341782053	-0.224527341782053
200902_at	0.767149791887608	0.767149791887608
200903_s_at	0.763164311561271	0.763164311561271
200904_at	-1.13275139385198	-1.13275139385198
200905_x_at	-0.800395095496684	-0.800395095496684
200906_s_at	-1.9271460457542	-1.9271460457542
200907_s_at	-1.33285841259054	-1.33285841259054
200908_s_at	-4.91044856535928	-4.91044856535928
200909_s_at	-0.102995860356222	-0.102995860356222
200910_at	0.575762639371883	0.575762639371883
200911_s_at	-1.2096490946627	-1.2096490946627
200912_s_at	-0.100560391478954	-0.100560391478954
200913_at	0.110886532168724	0.110886532168724
200914_x_at	1.0388885759405	1.0388885759405
200915_x_at	0.496530396285515	0.496530396285515
200916_at	0.366504243186181	0.366504243186181
200917_s_at	3.02331222360761	3.02331222360761
200918_s_at	-0.242861790083049	-0.242861790083049
200919_at	-0.18953008638802	-0.18953008638802
200920_s_at	-1.83179415710853	-1.83179415710853
200921_s_at	-1.69381893246227	-1.69381893246227
200922_at	-0.420132509152915	-0.420132509152915
200923_at	2.12605056153176	2.12605056153176
200924_s_at	-1.13336755172916	-1.13336755172916
200925_at	-0.354450331635279	-0.354450331635279
200926_at	-0.0043293317454971	-0.0043293317454971
200927_s_at	-0.541568951094565	-0.541568951094565
200928_s_at	1.42694455853028	1.42694455853028
200929_at	-1.02365158711059	-1.02365158711059
200931_s_at	-1.26912333650904	-1.26912333650904
200932_s_at	-0.52996723588341	-0.52996723588341
200933_x_at	-0.212507088040605	-0.212507088040605
200934_at	0.0636123165527636	0.0636123165527636
200935_at	2.27337658589486	2.27337658589486
200936_at	-0.119296159816477	-0.119296159816477
200937_s_at	0.265875791787138	0.265875791787138
200940_s_at	0.686908917209131	0.686908917209131
200941_at	0.252725671728678	0.252725671728678
200942_s_at	0.906282053051882	0.906282053051882
200943_at	-0.00665521417439052	-0.00665521417439052
200944_s_at	-0.134623465302958	-0.134623465302958
200945_s_at	0.340728722703467	0.340728722703467
200946_x_at	-0.0621748022101247	-0.0621748022101247
200947_s_at	-0.190837266485905	-0.190837266485905
200948_at	-0.416984579546943	-0.416984579546943
200949_x_at	-0.12839746045305	-0.12839746045305
200950_at	0.306552514955058	0.306552514955058
200951_s_at	0.37166330056377	0.37166330056377
200952_s_at	-0.555024220624595	-0.555024220624595
200953_s_at	-0.302341533192198	-0.302341533192198
200955_at	0.198202442731825	0.198202442731825
200956_s_at	-0.276047296653749	-0.276047296653749
200957_s_at	0.180546049316339	0.180546049316339
200958_s_at	-0.611263755589906	-0.611263755589906
200959_at	0.61150413788372	0.61150413788372
200960_x_at	0.434131265022957	0.434131265022957
200961_at	0.277421002694489	0.277421002694489
200962_at	3.26356626993983	3.26356626993983
200963_x_at	-0.0478540954954791	-0.0478540954954791
200964_at	-0.420411042860122	-0.420411042860122
200965_s_at	-0.292333430655829	-0.292333430655829
200966_x_at	-0.0795222362835464	-0.0795222362835464
200967_at	-0.19599804548721	-0.19599804548721
200968_s_at	-0.189747349334771	-0.189747349334771
200969_at	0.240428009729559	0.240428009729559
200970_s_at	0.00392076295168131	0.00392076295168131
200971_s_at	-0.0458056970175704	-0.0458056970175704
200972_at	0.198607334210335	0.198607334210335
200973_s_at	0.268530036836612	0.268530036836612
200974_at	3.02086091766754	3.02086091766754
200975_at	0.0204933423108233	0.0204933423108233
200976_s_at	-0.211004628072443	-0.211004628072443
200977_s_at	-0.148175409708918	-0.148175409708918
200978_at	0.143259232940327	0.143259232940327
200979_at	0.673590677315525	0.673590677315525
200980_s_at	-0.813960424448542	-0.813960424448542
200981_x_at	0.0250390288544047	0.0250390288544047
200982_s_at	-2.81816384415133	-2.81816384415133
200983_x_at	-0.40387617924468	-0.40387617924468
200984_s_at	-0.457695701073412	-0.457695701073412
200985_s_at	-0.350558922297115	-0.350558922297115
200986_at	-5.85261438566568	-5.85261438566568
200987_x_at	0.688252967225255	0.688252967225255
200988_s_at	0.215950593396505	0.215950593396505
200989_at	-0.1215303390324	-0.1215303390324
200990_at	0.193497335752907	0.193497335752907
200991_s_at	0.100228776127686	0.100228776127686
200992_at	0.63948090899501	0.63948090899501
200993_at	0.391835709670877	0.391835709670877
200994_at	0.669883150196938	0.669883150196938
200995_at	0.627877212434479	0.627877212434479
200996_at	-0.289027915604917	-0.289027915604917
200997_at	0.190943893199542	0.190943893199542
200998_s_at	-0.440729734907789	-0.440729734907789
200999_s_at	-0.570660817718291	-0.570660817718291
201000_at	0.121921856915719	0.121921856915719
201001_s_at	0.354715787108759	0.354715787108759
201002_s_at	0.0240775804299656	0.0240775804299656
201003_x_at	0.00723098974064129	0.00723098974064129
201004_at	-0.928922065341624	-0.928922065341624
201005_at	-4.08908993109651	-4.08908993109651
201006_at	-2.89704272961343	-2.89704272961343
201007_at	0.157163780936813	0.157163780936813
201008_s_at	-0.857263378132943	-0.857263378132943
201009_s_at	-1.01114385924454	-1.01114385924454
201010_s_at	-1.03298594735416	-1.03298594735416
201011_at	-0.823513102210553	-0.823513102210553
201012_at	-2.12401229569915	-2.12401229569915
201013_s_at	1.43192293096598	1.43192293096598
201014_s_at	1.37633218108601	1.37633218108601
201015_s_at	-1.49286861123356	-1.49286861123356
201016_at	0.721514697641044	0.721514697641044
201017_at	0.351776563896561	0.351776563896561
201018_at	-0.137541361211948	-0.137541361211948
201019_s_at	0.28982339751882	0.28982339751882
201020_at	-0.631500683026371	-0.631500683026371
201021_s_at	1.09766057370634	1.09766057370634
201022_s_at	0.540768951817247	0.540768951817247
201023_at	-0.645181252966619	-0.645181252966619
201024_x_at	1.0437460186389	1.0437460186389
201025_at	1.10734822990739	1.10734822990739
201026_at	1.21785982034946	1.21785982034946
201027_s_at	1.13118664104077	1.13118664104077
201028_s_at	-2.73554731509027	-2.73554731509027
201029_s_at	-2.3803411358255	-2.3803411358255
201030_x_at	0.340900894364029	0.340900894364029
201031_s_at	0.231741409659765	0.231741409659765
201032_at	0.283202209424928	0.283202209424928
