Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
P181_D8	0.23444235576252084	0.11460599956044083	0	0.20263874229119425	0.14823820850211164	0	0.02299570949998739	0.015353005182330993	0.0023422465142803814	0.03226138164856474	0.07127889687080792	0.0002	0.10042148303267881	0.01669718856694592	0	0.0033340765397917756	0	0.005449908117321066	0.014687392191868402	0	0.008283355594713996	0.006808319819894403	0	0.6309868431599253	0.7808106569454033
P182_D8	0.2665243714866108	0.004744784884001026	0.03448645947383072	0	0.1971406805316964	0	0	0.030607956856134277	0.014258343195362462	0.024127899247332014	0.007442764114538921	0.014221045241490276	0.23889125032973457	0.042452721002855506	0	0	0	0	0.03211361802369557	0	0.04283908764793334	0.050149017964784076	0.01	0.33807131992621514	0.951025478143442
P183_D8	0.46344370315618366	0.1406519819117332	0	0	0.08810958083585979	0.1191973321477827	0	0.04584331361371286	0	0.02957079198469888	0.04707528388598475	0.004528435926793101	0.0010667347465342215	0.00597389284248193	0	0.010883177715846537	0	0	0.011522644486815099	0	0.029052115406568706	0.003045688596334138	0	0.6445191349562939	0.7647900309279021
P184_D8	0.5171400995252227	0.04164431767339741	0	0.010686207648554233	0.08661570636271597	0.043217557371441506	0.0014475055436361478	0.0020992316726213384	0	0.01939426520958707	0.11248148894535265	0	0.09066363323144733	0	0	0.06096220139830966	0	0.0008	0	0.001310595426248308	0.010376628374166127	0.0011654659230050251	0.01	0.3719216379486486	0.9651398865525207
P185_D8	0.22424656748496827	0	0.03313234608555889	0	0.08458824588983242	0	0.029819854537802226	0.01437792552786972	0	0	0.21200011509120478	0	0.22506911451792405	0.10294759010137938	0	0	0	0.015317421445625172	0	0	0.01398579588786778	0.04451502342996735	0.01	0.37984939254356354	0.9280389155534358
P187_D8	0.34865096975268645	0.07183466124136058	0.0019119382392293457	0	0.0037300756628744266	0.09929346031153334	0	0.01649170083225766	0	0.0071181827686368935	0	0.08998673857601001	0.15300687386410278	0	0	0.09691405006975175	0.017883071339314313	0	0.04686981095848507	0	0.04630846638375744	0	0	0.46249288134930194	0.8876367911660863
P188_D8	0.19968404341756255	0.11487235696694356	0.05203239767910176	0.09723967019175436	0.19393198296276656	0.04628891753729303	0	0	0	0	0.09267280182698426	0	0.06995397119093134	0.02095105158918957	0	0	0	0.0009	0.009541136985319729	0	0.03705170744756847	0.06487438913765627	0	0.5170531949425331	0.8551748106998837
P189_D8	0.3310526879593816	0.0011263180760235215	0.12632732204684224	0.07837236163551131	0.11391454120107096	0.10424953616523294	0	0.021463224997559132	0	0	0	0.10073852136206728	0.006300949095363633	0.014279919550504476	0	0.02306919187267706	0	0	0.0625205698191425	0	0.012754618856366496	0.003830237362256808	0	0.4225930015855666	0.920048710458713
P190_D8	0	0.004373145701751473	0.02145550606432503	0.08300313699048542	0.3988276718363391	0.0006	0	0.38692614413344056	0	0	0.005005337049243689	0.014853078410223524	0.028506330408279112	0	0	0	0.03164616905044019	0	0.024383583403222206	0	0.0005	0	0	0.7211429630975106	0.6944601943517086
P191_D8	0.3125461138130518	0.26214691258785516	0	0.021093334542489767	0	0.11558201650661785	0	0.024411559228877878	0	0	0	0.07463870081418685	0.06881151708477967	0.02432898357886453	0	0.020996794022536874	0	0	0.027690469230263335	0	0.03301446845089122	0.014739130139584996	0.01	0.3995584647667049	0.9419250796699511
