Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
P026_D0	0.15752840848206065	0	0.05848504222285596	0.039764272675914085	0.15873958354182668	0	0	0.00913448062377067	0	0.013502105523431694	0.004833100046485153	0.05224574216843588	0.26907386497338787	0.07484836739880336	0	0	0	0.01567449994008102	0.044058052125540294	0	0.08349431638618102	0.018618163891225684	0	0.3033186901598624	0.960417501937649
P027_D0	0.16504374667242955	0.10082289168563226	0.17144860940322867	0.012233563046819433	0.14595505301150116	0.12262312465892393	0	0	0	0	0.02870003000366126	0.056037349379600386	0.035754013064747944	0.06863059350523658	0	0.014975090582822662	0	0	0.02284909072663663	0	0.043339300442127	0.011587543816632576	0	0.30680254017871655	0.9797716533418732
P028_D0	0.4249219341002448	0	0.08060249837228296	0	0.253584153243769	0.057939244351343004	0	0	0	0	0.02550752550564992	0.051743792892822674	0.015963871289632177	0.013388189092074718	0	0.010819746775513504	0	0.0005	0.0476141385587143	0	0.017412147690602522	0	0.01	0.29984359507883307	1.0044829301607128
P029_D0	0.5330900254416773	0	0.03923555162658914	0.05087162992899815	0.1739797811702207	0	0	0	0	0	0.021200339560069663	0.0656325217381488	0.033196404562086695	0.0092163063532083	0	0	0	0	0.04564835875719061	0	0.02792908086181067	0	0	0.36902222471177887	0.9741741274647929
P031_D0	0.41817608040626253	0	0.030893467662572748	0.02444912729719629	0	0.15472992698439203	0	0	0	0	0	0.03064771204946129	0.13674990780237153	0.0544115556690219	0	0	0	0.0037745018529325314	0.049402925001373436	0	0.09676479527441569	0	0	0.37673427394056325	0.9400179938389494
P032_D0	0.39659241480741153	0	0.1049305558520622	0.01384748187792297	0.02044076707492822	0.1305441091964911	0	0	0.02220926300078807	0	0.023599469681273758	0.0170427801219398	0.083735024169531	0.10152224793573655	0	0.011736404380229892	0	0	0.007785805627357806	0.012152681739916574	0.05386099453441043	0	0	0.45445538551986286	0.897717955551075
P033_D0	0.4129742902716412	0	0.11241666591609388	0.01576235860785367	0.13566545628805027	0.06240150347235071	0	0	0	0	0.0366519440468285	0.01706963742873258	0.07035329084699404	0.0375487384655547	0	0.013393249973713479	0	0	0.036578067503487285	0	0.04703742939086887	0.0021473677878308633	0	0.41867911562736415	0.9248557137296369
P034_D0	0.32210130427662015	0	0.18551039812901518	0.01053819401837021	0.08442377813663238	0.12264546363467164	0	0	0.015964887556707073	0	0.01311450957354605	0.019031774179489768	0.09347075178277213	0.058451197124008786	0	0.005152226807042566	0	0	0	0.02011640627394849	0.04947910850717559	0	0	0.33699721214019224	0.9742683775954228
P035_D0	0.5088739799589747	0	0.008714248778725132	0	0.1707921847156433	0.15624326488793605	0	0	0	0	0	0.07250098526034957	0.009679935466656565	0.018136930080858347	0	0.016065214241690707	0	0	0.019290888413565556	0	0.01970236819560008	0	0	0.3468072884084056	0.9834583731443438
P036_D0	0.13584999145000437	0.09578743409524487	0.13288896836788786	0.014064662831841601	0.2018986891831754	0.2166576658797698	0	0	0	0	0	0.07670307110665803	0.047388042091760146	0.0018050528499780646	0	0.0043926534144732715	0	0.007884570223334974	0.021347281870143328	0	0.03798390416339915	0.005348012472329097	0.01	0.2673254507216246	1.0013167759063486
