"D0_Others"	"D8_Others"	"D0_TEL.AML1"	"D8_TEL.AML1"
"200670_at"	0.355792267147207	0.327167714959071	-0.557396833430063	-0.670859964224956
"200673_at"	0.0162402142328464	-0.348983824044495	-0.240635157169145	-0.251048340582571
"200675_at"	-0.54368368706279	-0.562172297837217	-0.344543110391038	-0.613269921940764
"200677_at"	0.228471563744957	-0.146603757588858	-0.242305028730783	0.0156328433380413
"200681_at"	0.2990698690373	0.628041866232053	0.493088006112266	0.558629704116012
"200685_at"	-1.33131240658726	-1.45337267351138	-1.35778793936638	-1.06045095641113
"200688_at"	-0.220687251189466	0.646216372434377	0.150637861862188	0.0879015230532971
"200690_at"	0	-0.349513730043705	-0.867558133010979	-0.341904331194112
"200693_at"	0.26732073006529	0.695138928056679	0.632042997137997	0.401761325119487
"200695_at"	1.67500055002131	1.31206113703557	1.36524387786341	1.02217323612259
"200697_at"	0.128603179780846	0.377666381549089	0.513669378456093	0.740097003645509
"200698_at"	-0.101052814742348	0.000152766189829734	-0.216309952895687	0.192220754110586
"200699_at"	0.264674698047887	0.317219645287526	0.337390062548346	0.422185683555162
"200701_at"	0.609827701230543	0.141256469899698	-0.295604422181746	-0.038940297591429
"200703_at"	-0.368202799549804	0.278500563456706	-0.0352627250716004	-0.108781311549915
"200704_at"	0.0712885127604039	-0.357088569317	-0.172465099398398	-0.358571418508866
"200707_at"	0.736866992953683	-0.0845426717162194	0.788765167894121	0.781719631853926
"200708_at"	0.572185978603851	0.881542914941731	-0.00805807126586444	0.0720377505581542
"200709_at"	0.366855677059322	0.432509252393805	0.745595844224832	0.136041174657262
"200710_at"	0.382377729136156	0.399248579372578	0.5264709602321	0.247113351002584
"200719_at"	-0.398028612999802	-0.464563316309423	-0.214336186776576	-0.461195763290679
"200726_at"	-0.2557085432649	0.0154398258498194	-0.0728955527714898	-0.0889182425027926
"200728_at"	0.531187298078255	0.653303814192169	0.621165551626259	0.538019173226781
"200737_at"	0.201701444623414	0.340105723573775	0.548010848841145	0.505574708431197
"200749_at"	-0.798097944918061	-0.205476747855068	-0.437223683884072	-0.62074825066667
"200762_at"	-1.14278281536275	-0.790096636822042	-0.459410515776014	-0.483198671516856
"200766_at"	0	0.0638454961859765	0	0.804877970038211
"200771_at"	0.324087330836969	0.711443692503991	0.594034544970118	0.804696674834396
"200774_at"	-0.718839053752335	-0.331348697076875	-0.815652512143766	-0.638535399578323
"200779_at"	0.0957684504463909	-0.276278327816332	0.274142783075684	-0.00490744513196439
"200782_at"	0.16222171347669	-0.266701369840256	-0.397100409764045	-0.244666555746996
"200786_at"	0.186331550700691	0.632687912424444	0.197349520028927	0.376275031167019
"200789_at"	0.55203541680506	0.580249328643983	0.67810318158881	0.725521879135753
"200790_at"	-0.117541652377511	0.542657452659766	0.305979011523418	0.425011193589729
"200792_at"	0.518034172988061	0.703983117219416	0.914098225713332	0.851829010635281
"200799_at"	-0.339304796145989	0.403170467060512	0.0161376250758938	-0.061689390552754
"200802_at"	0.252688646771931	0.369349498634369	0.353700117251888	0.479948369330327
"200804_at"	0.308568862891844	-0.0960749942658161	0.0436811138193018	0.0154618935281832
"200805_at"	0.352873575597949	0.0531334699588601	0.485000115519783	0.146446303370181
"200811_at"	0.82271044200632	0.367889547418011	0.210144949556653	-0.00480675676939413
"200812_at"	-0.0787219106180945	0.505881617919082	0.707724673598365	0.416586668454626
"200814_at"	-0.298112249878352	-0.21770223109859	-0.186994795921281	-0.324599430227059
"200818_at"	0.0198388760064478	0.0958277211777254	0.107864406167542	0.121963665562227
"200820_at"	0.31643721925211	0.188986380154972	0.524058741801127	0.305304830397018
"200821_at"	-1.23754163732475	-0.94866956159983	-1.59994884169848	-1.61018721378363
"200824_at"	0.28118525904352	0.320556069687594	0.126357315152118	-0.0214733703253458
"200826_at"	0.075521478937441	0.0589462537877434	-0.1680961222721	-0.0807990444992939
"200827_at"	0	0	0.961458313540833	0
"200830_at"	-0.458644864647178	-0.515379386006675	0.00805969465472067	0.0924094639907427
"200837_at"	0.516546084563577	0.420289847268275	0.923222348984622	0.54008258348037
"200838_at"	0.920055493019794	-0.474589053985762	0.29586817522412	0.234530090993179
"200840_at"	-0.544922258556126	-0.187782191567745	-0.244209608872893	-0.0929229963505591
"200848_at"	0.835488904431333	1.20219929664322	0.642952017178688	1.22295848687901
"200853_at"	0.129058180441596	0.0915399603287206	-0.09616933224045	-0.317632959450975
