"D0_Others"	"D8_Others"
"201011_at"	-0.308305723915938	-0.247894996982712
"201012_at"	-0.952324469373922	-0.382335222936158
"201016_at"	-0.512104817199365	-0.174179113562934
"201017_at"	-0.996194936906331	-0.56817203569975
"201018_at"	-0.256896795644328	-0.0298615480592481
"201020_at"	1.26015769408105	1.31621037609511
"201023_at"	-0.206910968987165	-0.418870312676921
"201025_at"	0.274013131055223	0.504238588859414
"201026_at"	0.548921178492169	0.790640538351289
"201032_at"	1.07175122607876	0.735823420347923
"201034_at"	-0.850126345540271	-0.429346018452673
"201037_at"	0.124035549193236	0.135052070886756
"201040_at"	0.112329494294306	-0.0130680153966658
"201050_at"	0	-0.548637118365437
"201051_at"	0.522737305311548	0.866379432700805
"201054_at"	-0.0631078618836636	0.162595921913388
"201056_at"	-0.312462753637176	-0.537525711286948
"201059_at"	0	-0.811660590467208
"201063_at"	0.406775828273997	0.340400166496662
"201066_at"	0.314324518740941	0.699242735785946
"201067_at"	0.314083441577406	0.204447447092997
"201074_at"	0.247048681551099	0.279422050503818
"201076_at"	0.397539462379408	0.371887049895841
"201078_at"	0.242992616014396	0.385529320979014
"201079_at"	-0.371782062501985	-0.160456672667802
"201080_at"	0.50092701558337	0.515829922895556
"201087_at"	-0.824162996304893	-0.61971282943799
"201088_at"	-0.16637860143801	0.0840775803162508
"201089_at"	0.631294459428441	0.282059219512362
"201092_at"	-0.496505403965809	-0.111707781480293
"201094_at"	-0.206143757591043	-0.485567575522111
"201095_at"	0.0618671394361314	0.0953017258419369
"201098_at"	-0.540264423977288	-0.112815133408668
"201099_at"	-0.501352542575354	-0.0709050716656403
"201105_at"	-1.40608795970364	-1.41366399953881
"201106_at"	-0.148353995177155	-0.0671252610055753
"201111_at"	-0.279948367605236	0.699986404817267
"201113_at"	-0.684923589582326	-0.672642595171709
"201115_at"	-0.0505031458189293	0.170310103240848
"201118_at"	1.02486328762615	1.0137891022351
"201129_at"	-0.00967462561547627	0.59456964432364
"201132_at"	0.0483810076410727	0.29453915562212
"201135_at"	-1.0058929282328	-0.556837064171141
"201136_at"	-1.64053930897374	-0.4934837630669
"201142_at"	-0.594650434750914	0.0932545574152517
"201145_at"	-0.381228080804133	-0.337828106450425
"201146_at"	0.0673910111087057	0.311196721230022
"201158_at"	0.0842319413104811	0.545444209655189
"201162_at"	0	-0.15005956712162
"201171_at"	0	0
"201175_at"	0.0955045326622095	0.283349082176317
"201178_at"	0.256678249293685	0.135303580746678
"201181_at"	0.0956207062215757	-0.202579129984979
"201186_at"	-0.584239348417077	-1.14924187104962
"201191_at"	0.232964997556842	0
"201193_at"	-0.148166877252804	0.658691716988981
"201194_at"	0.222208175631502	-0.22722008110874
"201197_at"	0.47572587980973	0.53865391949167
"201200_at"	1.61837381446488	0.49958464321278
"201201_at"	-0.746835224500337	-0.238256071641596
"201202_at"	-0.53788922393913	0.0872049656028508
"201207_at"	0.294483243880296	-0.226988595232037
"201209_at"	-0.343423980481768	-0.263364457960941
"201210_at"	0.274356209523008	0.278787916535832
"201215_at"	0	-0.634201272260851
"201216_at"	0.335057249167024	0.0897252357743685
"201218_at"	0.885302504280684	0.483324360134983
"201219_at"	-0.543970215102551	-0.58077454609564
"201226_at"	0.324491878355888	0.0556734499152167
"201233_at"	1.32695531980391	1.39546704429483
"201234_at"	-0.57609120279198	-0.556171304673235
"201237_at"	0.210612547244487	0.276709087547399
"201241_at"	0.362711628705652	0.928660819229734
"201247_at"	0	0
"201251_at"	-1.72159150114762	-1.30204599655285
"201252_at"	0.153858949641867	-0.00384092832190674
"201256_at"	0.314800350003834	0.15079187792791
"201258_at"	-0.0414702346524347	-0.335869746526063
"201263_at"	0.183890248902612	0.423521638399521
"201264_at"	-0.852989007110565	-1.10009074197845
"201266_at"	0.188207508038118	0.671707455631186
"201268_at"	-0.326550130687524	-0.280774636163118
"201272_at"	0.409646801348241	0.716677113664479
"201274_at"	-0.319674903969331	0.0118539254006844
"201275_at"	-0.0622538540221527	0.0530180124981516
"201276_at"	0.700916149326861	0.692460096972995
"201278_at"	-0.469592814989574	-0.39090916486596
"201281_at"	-0.228483591528018	-0.123844971232081
"201285_at"	0.270593256406833	0.306284897093136
"201288_at"	0.0937912543281456	-0.372502083988282
"201290_at"	-0.545134841581145	-0.540349892895643
"201292_at"	-0.610512852070688	0.497651335676899
"201302_at"	-0.733683853236053	-0.397100559477014
"201303_at"	-0.342387017309138	0.296523927515809
"201304_at"	0.707288350457189	0.515950861319773
"201307_at"	0.0343134812579802	0.0419314560371369
"201314_at"	0.237709464276268	0.153969933751792
"201316_at"	-0.0734347427121858	0.0258873352790374
"201319_at"	0.264545973382978	0.516137415707872
